faultNumber,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0,0.24987,3642.6,4539.6,9.2784,27.2,42.248,2704.2,75.492,120.4,0.3399,80.007,51.317,2633.1,25.184,51.594,3102.1,22.848,65.706,230.7,341.29,94.667,77.375,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.422,53.617,24.708,62.265,22.224,39.724,41.975,50.223,47.411,41.093,18.351
0,0.25118,3694.8,4513.8,9.2831,27.077,42.736,2705.4,74.628,120.41,0.3356,80.281,48.67,2634.7,21.899,49.225,3104.0,22.205,65.739,230.34,340.86,94.522,77.8,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.523,53.926,24.579,61.306,21.975,40.249,34.187,44.741,47.442,41.303,19.831
0,0.25185,3683.5,4504.9,9.46,26.987,42.245,2705.2,74.315,120.42,0.33761,80.229,51.879,2633.5,24.337,49.783,3104.3,21.96,65.78,228.84,340.67,94.681,77.585,32.265,8.8472,25.898,6.927,18.977,1.6573,32.93,13.906,23.847,1.1542,18.833,2.2792,4.8814,2.2239,0.017866,0.8357,0.098577,53.724,43.828,62.717,54.032,24.521,60.532,21.64,40.003,43.628,46.032,47.574,41.52,20.426
0,0.25147,3653.9,4531.9,9.3462,26.983,42.656,2706.3,75.487,120.39,0.33631,80.221,49.955,2634.2,24.811,48.863,3104.2,22.323,65.789,228.45,341.6,94.541,77.489,32.265,8.8472,25.898,6.927,18.977,1.6573,32.93,13.906,23.847,1.1542,18.833,2.2792,4.8814,2.2239,0.017866,0.8357,0.098577,53.724,43.828,63.226,53.708,24.558,61.496,22.324,40.161,37.967,43.903,47.606,41.284,19.568
0,0.24107,3629.3,4527.0,9.3406,27.041,42.52,2705.6,75.332,120.38,0.34839,80.218,48.691,2635.1,24.809,50.65,3102.1,23.378,65.791,228.64,341.58,94.574,77.399,32.086,8.7784,26.475,6.7721,18.631,1.6713,33.119,13.924,24.394,1.2753,18.222,2.2898,4.7992,2.2417,0.017866,0.8357,0.098577,53.724,43.828,63.234,53.259,24.024,60.781,22.506,40.962,34.247,48.037,47.585,40.949,17.063
0,0.24314,3681.9,4485.6,9.2274,26.555,42.587,2704.9,75.491,120.39,0.34411,80.145,50.101,2633.0,24.105,51.297,3101.3,23.208,65.775,230.64,341.39,94.768,76.945,32.086,8.7784,26.475,6.7721,18.631,1.6713,33.119,13.924,24.394,1.2753,18.222,2.2898,4.7992,2.2417,0.017724,0.8302,0.097815,54.081,43.994,62.329,53.755,23.82,63.204,22.213,41.484,38.397,49.536,47.404,40.928,17.496
0,0.26121,3712.5,4511.7,9.3253,26.865,42.247,2704.1,75.189,120.38,0.35182,79.961,50.093,2632.4,24.348,49.091,3099.7,23.481,65.746,229.45,341.86,94.484,77.15,32.155,8.9498,26.527,6.9472,18.997,1.6231,33.079,13.873,23.897,1.127,18.445,2.2426,4.861,2.3385,0.017724,0.8302,0.097815,54.081,43.994,63.193,54.285,25.482,62.717,22.382,41.178,38.373,44.43,47.513,40.028,16.852
0,0.26004,3722.7,4518.3,9.3491,27.055,42.37,2703.0,74.842,120.4,0.35126,79.887,51.169,2631.7,27.138,51.62,3100.0,21.881,65.691,229.72,341.49,94.609,76.883,32.155,8.9498,26.527,6.9472,18.997,1.6231,33.079,13.873,23.897,1.127,18.445,2.2426,4.861,2.3385,0.017724,0.8302,0.097815,54.081,43.994,63.017,54.207,25.597,62.698,22.367,41.247,41.54,50.282,47.491,40.94,20.689
0,0.25202,3684.0,4510.0,9.4889,26.562,42.508,2703.8,75.205,120.39,0.34324,79.975,50.968,2632.6,27.014,50.399,3098.7,22.701,65.652,230.59,341.71,94.552,77.454,32.386,8.9165,26.371,6.8947,18.419,1.6744,32.703,13.805,23.886,1.154,18.969,2.268,4.7573,2.2343,0.017724,0.8302,0.097815,54.081,43.994,62.167,53.401,25.216,60.319,22.334,40.974,40.947,47.457,47.419,40.3,18.707
0,0.25513,3643.7,4476.7,9.3231,27.103,42.172,2705.9,75.086,120.4,0.34227,80.198,49.277,2635.5,25.935,51.53,3101.3,23.752,65.675,230.41,342.15,94.716,77.579,32.386,8.9165,26.371,6.8947,18.419,1.6744,32.703,13.805,23.886,1.154,18.969,2.268,4.7573,2.2343,0.017724,0.8302,0.097815,54.081,43.994,62.861,53.8,24.911,58.692,22.413,41.093,35.971,50.075,47.437,41.338,16.186
0,0.2289,3674.9,4501.8,9.33,26.867,42.396,2707.6,75.465,120.4,0.33701,80.31,49.034,2636.4,24.162,50.168,3104.1,22.898,65.716,231.86,341.41,94.516,77.509,32.269,8.943,26.236,6.9592,18.667,1.6704,33.404,13.893,23.798,1.5004,18.875,2.27,4.6798,2.3167,0.026186,0.83459,0.095339,53.134,43.854,62.749,54.929,22.918,61.195,22.367,39.94,35.257,46.922,47.161,40.801,18.206
0,0.23041,3642.9,4532.3,9.2339,27.112,42.418,2704.9,75.34,120.38,0.33602,80.091,50.173,2632.5,26.914,51.716,3104.7,23.261,65.769,230.2,340.87,94.74,77.0,32.269,8.943,26.236,6.9592,18.667,1.6704,33.404,13.893,23.798,1.5004,18.875,2.27,4.6798,2.3167,0.026186,0.83459,0.095339,53.134,43.854,63.3,54.565,22.77,62.305,21.818,40.06,38.61,50.506,47.243,40.526,17.386
0,0.24305,3667.8,4518.7,9.3578,26.332,42.295,2704.4,74.839,120.41,0.34943,79.924,49.375,2633.2,25.288,50.498,3100.8,23.112,65.71,231.36,341.57,94.584,77.062,32.345,8.9528,26.895,6.8173,18.922,1.6595,33.092,13.899,24.023,1.1452,18.949,2.2385,4.8621,2.2407,0.026186,0.83459,0.095339,53.134,43.854,62.261,54.157,23.468,61.216,22.205,40.812,36.26,47.686,47.078,41.382,17.754
0,0.24107,3650.0,4520.0,9.3659,26.821,42.332,2703.9,75.658,120.37,0.34756,79.861,51.736,2632.4,26.141,51.508,3100.8,22.441,65.644,228.22,341.38,94.805,77.292,32.345,8.9528,26.895,6.8173,18.922,1.6595,33.092,13.899,24.023,1.1452,18.949,2.2385,4.8621,2.2407,0.026186,0.83459,0.095339,53.134,43.854,62.567,54.141,23.662,61.154,22.224,41.041,43.208,50.024,47.3,39.747,19.343
0,0.23164,3678.0,4511.3,9.3792,26.588,42.326,2705.7,75.046,120.43,0.34859,80.155,50.192,2634.9,24.013,51.366,3103.8,23.721,65.639,231.78,341.61,94.563,77.557,32.064,8.9619,26.64,6.925,18.856,1.6755,33.111,13.724,23.883,1.2378,19.118,2.295,4.8577,2.3572,0.026186,0.83459,0.095339,53.134,43.854,63.324,53.618,22.906,62.457,22.305,41.166,38.665,49.695,46.925,41.683,16.276
